CT,BoroCt,BoroCode,County,LRS,Number of Records
tract,0tract,0,County_name,,1
003100,2003100,2,Bronx County,27.3,1
003300,2003300,2,Bronx County,38.3,1
003500,2003500,2,Bronx County,35.8,1
003700,2003700,2,Bronx County,30.5,1
003800,2003800,2,Bronx County,35.1,1
003900,2003900,2,Bronx County,37.2,1
000100,2000100,2,Bronx County,,1
000200,2000200,2,Bronx County,29.3,1
000400,2000400,2,Bronx County,28.3,1
001600,2001600,2,Bronx County,33,1
001900,2001900,2,Bronx County,35.4,1
002000,2002000,2,Bronx County,35.8,1
002300,2002300,2,Bronx County,38.3,1
002400,2002400,2,Bronx County,,1
002500,2002500,2,Bronx County,39.1,1
002701,2002701,2,Bronx County,40.7,1
002702,2002702,2,Bronx County,38.4,1
002800,2002800,2,Bronx County,30.5,1
006300,2006300,2,Bronx County,34.6,1
006400,2006400,2,Bronx County,32.4,1
006500,2006500,2,Bronx County,39.9,1
006700,2006700,2,Bronx County,37.9,1
006800,2006800,2,Bronx County,32.3,1
006900,2006900,2,Bronx County,37.2,1
004001,2004001,2,Bronx County,26.7,1
004100,2004100,2,Bronx County,39.6,1
004200,2004200,2,Bronx County,35,1
004300,2004300,2,Bronx County,37.6,1
004400,2004400,2,Bronx County,36.8,1
004600,2004600,2,Bronx County,31.7,1
004800,2004800,2,Bronx County,38.4,1
005001,2005001,2,Bronx County,34.8,1
005002,2005002,2,Bronx County,39,1
005100,2005100,2,Bronx County,40,1
005200,2005200,2,Bronx County,32.8,1
005300,2005300,2,Bronx County,42.2,1
005400,2005400,2,Bronx County,36.7,1
005600,2005600,2,Bronx County,32.9,1
005902,2005902,2,Bronx County,33.1,1
006000,2006000,2,Bronx County,37.8,1
006100,2006100,2,Bronx County,25.8,1
006200,2006200,2,Bronx County,38.8,1
009300,2009300,2,Bronx County,39.5,1
009600,2009600,2,Bronx County,29.1,1
009800,2009800,2,Bronx County,29.6,1
011000,2011000,2,Bronx County,33.6,1
011502,2011502,2,Bronx County,37.8,1
011700,2011700,2,Bronx County,38.4,1
007000,2007000,2,Bronx County,32.6,1
007100,2007100,2,Bronx County,32.4,1
007200,2007200,2,Bronx County,29.1,1
007300,2007300,2,Bronx County,38.9,1
007400,2007400,2,Bronx County,30.5,1
007500,2007500,2,Bronx County,34.9,1
007600,2007600,2,Bronx County,33.8,1
007700,2007700,2,Bronx County,33.5,1
007800,2007800,2,Bronx County,33.4,1
007900,2007900,2,Bronx County,40.5,1
008300,2008300,2,Bronx County,36.7,1
008400,2008400,2,Bronx County,28.5,1
008500,2008500,2,Bronx County,37.3,1
008600,2008600,2,Bronx County,34,1
008700,2008700,2,Bronx County,38.4,1
008900,2008900,2,Bronx County,36.3,1
009000,2009000,2,Bronx County,34.9,1
009200,2009200,2,Bronx County,31.3,1
014701,2014701,2,Bronx County,40.4,1
014702,2014702,2,Bronx County,40.6,1
014900,2014900,2,Bronx County,37.8,1
015100,2015100,2,Bronx County,33.3,1
015200,2015200,2,Bronx County,26.4,1
015300,2015300,2,Bronx County,34.6,1
011800,2011800,2,Bronx County,21.8,1
011900,2011900,2,Bronx County,38.7,1
012101,2012101,2,Bronx County,36.4,1
012102,2012102,2,Bronx County,44.3,1
012300,2012300,2,Bronx County,37,1
012500,2012500,2,Bronx County,35,1
012701,2012701,2,Bronx County,35.1,1
012901,2012901,2,Bronx County,37.1,1
013000,2013000,2,Bronx County,17,1
013100,2013100,2,Bronx County,38,1
013200,2013200,2,Bronx County,22.3,1
013300,2013300,2,Bronx County,34.8,1
013500,2013500,2,Bronx County,34.7,1
013800,2013800,2,Bronx County,20.7,1
014100,2014100,2,Bronx County,37.7,1
014300,2014300,2,Bronx County,32.1,1
014400,2014400,2,Bronx County,34.4,1
014500,2014500,2,Bronx County,39.8,1
017902,2017902,2,Bronx County,39.6,1
018101,2018101,2,Bronx County,37.8,1
018102,2018102,2,Bronx County,35.5,1
018301,2018301,2,Bronx County,29.9,1
018302,2018302,2,Bronx County,38.5,1
018400,2018400,2,Bronx County,23.6,1
015500,2015500,2,Bronx County,35.6,1
015700,2015700,2,Bronx County,37.7,1
015800,2015800,2,Bronx County,24.7,1
