Boro Code,Boro Ct,CT,County,Geometry,LRS,Number of Records,Boro Code1,Boro Ct201,Boro Name,Cdeligibil,Ct2010,Ctlabel,Ntacode,Ntaname,Puma,Shape Area,Shape Leng
2,2003100,003100,Bronx County,POLYGON,27.3,1,2,2003100,Bronx,E,003100,31,BX39,Mott Haven-Port Morris,3710,1680016.22629,5846.67292924
2,2003300,003300,Bronx County,POLYGON,38.3,1,2,2003300,Bronx,E,003300,33,BX39,Mott Haven-Port Morris,3710,1639977.72269,5957.06699773
2,2003500,003500,Bronx County,POLYGON,35.8,1,2,2003500,Bronx,E,003500,35,BX39,Mott Haven-Port Morris,3710,1525330.73815,5804.92340698
2,2003700,003700,Bronx County,POLYGON,30.5,1,2,2003700,Bronx,E,003700,37,BX39,Mott Haven-Port Morris,3710,1787327.23489,5545.81406546
2,2003800,003800,Bronx County,POLYGON,35.1,1,2,2003800,Bronx,E,003800,38,BX09,Soundview-Castle Hill-Clason Point-Harding Park,3709,682166.213878,3473.80585409
2,2003900,003900,Bronx County,POLYGON,37.2,1,2,2003900,Bronx,E,003900,39,BX39,Mott Haven-Port Morris,3710,2326464.69132,7427.77826596
2,2000100,000100,Bronx County,POLYGON,,1,2,2000100,Bronx,I,000100,1,BX98,Rikers Island,3710,18163827.6803,18898.116397
2,2000200,000200,Bronx County,POLYGON,29.3,1,2,2000200,Bronx,I,000200,2,BX09,Soundview-Castle Hill-Clason Point-Harding Park,3709,5006557.74404,15610.7022684
2,2000400,000400,Bronx County,POLYGON,28.3,1,2,2000400,Bronx,I,000400,4,BX09,Soundview-Castle Hill-Clason Point-Harding Park,3709,8561175.03325,24725.4716898
2,2001600,001600,Bronx County,POLYGON,33,1,2,2001600,Bronx,E,001600,16,BX09,Soundview-Castle Hill-Clason Point-Harding Park,3709,5221330.09256,9671.30620476
2,2001900,001900,Bronx County,MULTIPOLYGON,35.4,1,2,2001900,Bronx,I,001900,19,BX39,Mott Haven-Port Morris,3710,17961359.4115,29999.5753549
2,2002000,002000,Bronx County,POLYGON,35.8,1,2,2002000,Bronx,E,002000,20,BX09,Soundview-Castle Hill-Clason Point-Harding Park,3709,4336906.33383,8383.69839389
